name ,description,dimensions,price,image
gato blanco,alfombra de calidad,120x40cm,120000,https://i.postimg.cc/PqQpvMWr/tuft-redondo.png
luz azul,alfombra de calidad,120x50cm,130000,https://i.postimg.cc/PqQpvMWr/tuft-redondo.png
alfombra nacional,alfombra de calidad,120x60cm,140000,https://i.postimg.cc/PqQpvMWr/tuft-redondo.png
Alfombra 4,alfombra de calidad,120x70cm,150000,https://i.postimg.cc/PqQpvMWr/tuft-redondo.png
tigre azul,alfombra de calidad,120x80cm,160000,https://i.postimg.cc/PqQpvMWr/tuft-redondo.png
alfombra roja,alfombra de calidad,120x40cm,170000,https://i.postimg.cc/PqQpvMWr/tuft-redondo.png
alfombra azul,alfombra de calidad,120x50cm,180000,https://i.postimg.cc/PqQpvMWr/tuft-redondo.png
alfombra circular,alfombra de calidad,120x60cm,190000,https://i.postimg.cc/PqQpvMWr/tuft-redondo.png
alfombra personalizada,alfombra de calidad,120x70cm,200000,https://i.postimg.cc/PqQpvMWr/tuft-redondo.png
alfombra premiun,alfombra de calidad,120x80cm,210000,https://i.postimg.cc/PqQpvMWr/tuft-redondo.png
